CodeJ;_2020;_2019;_2018;_2017;_2016;_2015;_2014;_2013;_2012;_2011;_2010
OVT167;24.6;32.7;35.2;39.2;41.5;39.7;41.6;42.4;44.7;46.6;46.6
OVT557;25.7;32.9;37.1;40.4;41;40.5;43.8;46.1;46.2;46.8;48.6
OVT64;26;35;38.1;42.8;43.9;;;;;;
OVT89;31.2;40.4;47.1;51.9;53.5;50;54.3;56;55;55.7;54.5
PBP;25.4;32;35.8;39.4;37.2;37.4;39;38.3;41.7;40.6;42.9
PKL45;18.8;23.7;24.2;28.1;26.8;27.2;29.2;29.7;31.7;32.2;34
PVDD67;20.1;25.2;26.4;30.1;29.2;27.7;27.9;27.8;30.8;30.4;31
PYTH120;17.4;20.9;21;24.6;23.2;23.8;24.4;24.7;27.9;25.9;26.7
RBS28;20;26.7;30.1;33.6;31.9;32.8;31.3;31.6;33.2;33.9;35.2
RIJN31;24.2;30;32.1;34.9;36.7;34.9;38.3;42.8;47.6;41.1;41.7
RS91;18.1;22.3;23;23;25.8;25.3;26.3;26;28.6;29.9;26.7
RTK5;25.8;36;43.3;;40.7;40.7;43.4;42.5;45;46.5;45.4
SB28674;20.5;27;28.5;29.2;29.4;29.9;29.4;29.5;;;
SPD165;;32.4;33.3;51.2;49.2;;;;;;
SPD29;24.8;31.5;29.8;44.4;;;38.8;38;41.5;43.3;
SPD53;23.8;30.7;31.4;43.1;;;40.5;38.4;43.5;44.1;
SPUI250;17.7;24.4;27.3;31.3;31.5;32.2;34.4;34.8;;;
SPUI29;25.4;32.9;37.2;39.6;41.1;38.1;41.3;42.5;42.8;43.4;48.2
STDK115;30.7;42.3;45.3;48.8;47.7;45.1;47;45.3;47;47.5;48.1
STDK137;30.4;40;41.9;46.3;45.8;43;41;38.9;42.8;45.4;42.3
STDK156;30.2;38.9;39.7;43.6;44.5;39.3;44.3;38.7;42.2;43.8;44.1
STDK30;28.3;40.5;42.2;51.8;48.8;49.4;49.4;48.8;53.2;54.6;51.5
STDK55;31.9;44.7;47.6;54.5;54.4;53.8;54.8;52.9;58.5;59.1;53.9
STDK58;30.6;43.6;45.6;53.4;51.2;;;;;;
SUM1369/W;22.4;26.8;31;31.8;32.6;32.2;32.2;33.3;;;
SUM1435;23.4;28.6;30.7;30.8;32.6;32.2;32.7;31.5;;;
T1;21.1;26.5;;;;;;;;;
T2;21.2;29.5;;;;;;;;;
T3;23.7;31.3;;;;;;;;;
T4;23.5;27.2;;;;;;;;;
T5;22.5;26.8;;;;;;;;;
T6;21.8;25.6;;;;;;;;;
T7;16.3;19.4;;;;;;;;;
T8;20.2;24;;;;;;;;;
TAS373;21.7;27;29.2;42.6;41.3;40.5;40.5;37.4;45.6;44.6;44.5
TAS45;22.3;28.2;30.9;35.3;39.3;36.8;37.5;36.8;41.5;41.6;39.4
TK10;20.5;26.5;29.3;30.6;32;30.7;32.2;32.4;33.6;;
TOR68;18.2;22.9;21.6;25.3;25.3;24.8;26.2;27.9;29.6;30;28.3
TPBV;16.2;21.3;22.3;24.6;26.1;24.5;26.1;27.9;29.4;27.1;31
UIL70;19.9;24.8;27.1;26.9;28.1;27.8;28.4;28.5;32;30.7;33.8
UT66;24.5;33.9;36;41.8;38.2;37.4;38.9;37.7;;40.6;38.1
VBP166;16;22.2;22.6;24.6;24.7;22.8;26.1;25.9;28.7;29.9;29.4
VH42;19.3;25.9;26.2;28;28.9;26.7;26.4;26.6;30.8;29.4;31.5
VLAM143;19.4;24.3;24.1;28.4;28.5;26.9;26.5;26.8;29;29.9;32.7
VLK/HOEK;30.9;44.5;51.5;51.2;47.2;50.4;54.3;52.6;53.4;52.2;53.9
VLK1B;27.5;36.4;41.5;43.5;;;;;;;
VLK68;28.3;37.7;39.6;45.7;40.9;;;;;;
VWS56;27.2;33.5;34;40.4;;38.3;39.4;41.9;44.5;42.4;43.8
WDD103;23.5;33.2;33.9;34.7;;;;;;;
WDK;23.3;32.8;34.8;33.7;33;30;31.7;31.7;33.7;33.4;33.4
WIB50;24.1;31.5;33.6;36.6;;;;;;;
WPW35;21.9;29.4;30.3;36.5;35.5;32.4;32.8;34.2;35.1;33.6;34.9
WSP13;22.6;29.6;32;34.5;34.4;35.4;35.6;33.6;37;37.5;41.8
WSS100;24.9;33.7;34.9;38.6;;;;;;;
WSS105;23.7;29.5;34.2;36.9;;;;;;;
ZEIL34;23.4;29;32.7;37.1;35.9;32.7;37.9;39.5;39.9;40.7;46.7
ZUID317;26.7;30.7;32.5;35.4;34.6;34.1;35.1;33.8;36.2;35.4;36.6
OK4;15.4;20.2;22.8;23.5;23.2;21.2;22.1;23.9;24.6;24.7;
OK5;16.6;18.7;17.4;21.7;21.8;19.9;20.1;18.8;22.6;22.2;
OK6;15;19.3;20.4;23;22.5;22.4;23.3;22.8;26.6;25.3;
OK7;16;19.1;20.6;23;23.2;22;24.2;26;25.6;26.6;
OK8;16.5;21.4;22.7;24.6;24.5;24.2;25.5;25.6;27.5;29.6;
OK9;17.2;22;20.2;25.7;24.9;23.8;24.7;24.6;27.3;26.9;
MID3A (OK);;;;;28.2;22.3;21.4;21.6;23.9;23.6;
OK11;15.2;19.8;19.6;21.3;21.8;20;20.7;20.9;22.7;22.7;
OK18;16.8;21.2;22.8;23.2;24.8;22.6;25.4;25.8;29.7;28.8;
OK19;16.7;21.7;22.9;25.5;25.8;24.2;25;25.5;27.8;24.7;
OK22;16.1;21.2;22.7;21.3;23.4;22.2;22.8;23.9;24.9;24.8;
OK23;15.6;20.1;20.5;23.1;22.8;21.5;23.3;23.7;26.5;27.1;
OK24;13.8;17.3;18.4;21.3;20.1;19;21.7;20.5;20.7;21.5;
SATB/GB;;;;26.3;26.4;26.5;27.9;27.4;29.1;32.7;
DD13;22.8;29;29.5;32.7;33;32.5;32.3;33.5;36.9;35.5;
DD14;17.8;21.6;23.2;25.6;26;24.2;25.9;26.8;27.8;30.1;
DD15;15.9;20.3;19.2;22.1;22.5;22.7;24.8;23.9;26.4;26.5;
DD16;19.4;25;26;29.8;29.3;26.4;27.9;27.6;30.7;28.8;
DD17;19.5;22.7;26.2;29.6;28.8;28.3;29.9;33.5;33.8;33.7;
DD20;20.4;26.7;27.3;31.1;31.9;28.4;34;31.5;35.4;34.6;
DD21;21.6;29;30.4;40.7;33.9;34.6;33.7;34.4;39.4;35.6;
DD25;18.7;23;24.1;25.4;24.8;26.3;25.3;26.8;29.1;29.1;
DD27;14.3;19.5;18.3;20.8;19.4;20.2;21.3;22.2;21.7;22.7;
DD28;19.2;26.4;25.5;31;28.8;28.1;28.4;28.4;30.5;30.7;
DD12;17;21.4;22.6;;;;;;;;
DD3A;20;25.3;24.5;;;;;;;;
OK10;15.2;18.5;18.6;;;;;;;;
OK2A;16.3;19.9;20.9;;;;;;;;
Z1;16.4;19.2;20.1;21;20.9;21.7;23.6;22.3;22.5;22.6;24.8
Z2;19;28.6;26.7;28.1;31;27.4;30.2;26.6;31.4;31.3;32.9
Z3;18.6;22.5;23;25.1;25.7;23.7;26.9;25.6;31.9;29.5;28.9
Z4;20.5;22.6;23.8;23.9;24.8;22.8;25.6;25.1;28.4;27.3;29.9
Z5;20.6;24.2;24.1;25.3;25.8;25.9;28.1;27.3;30.2;30;30.5
Z6;21;24.7;25.4;25.4;26.1;25.2;26.6;24.9;27.1;29;30.6
Z7;28.5;33.4;31.3;33.1;33.7;31.7;32.9;31.7;37.4;39.4;37.6
Z8;23.9;24.5;26.8;28.1;26.3;24.9;28.4;27.3;29.8;28.6;28.7
Z9;26.3;31.2;29.5;30.6;33.7;30.3;33;30.4;31.8;29.5;31.1
Z10;22.3;25.4;26.5;26.2;28.5;25.6;28.6;27.2;28.2;28.3;30.2
